Dice,Wounds,Probability of Success,Probability of Success (with cost)
1, 0, 0.5000, 0.3333
2, 0, 0.7500, 0.5556
3, 0, 0.8750, 0.7037
4, 0, 0.9375, 0.8025
5, 0, 0.9688, 0.8683
6, 0, 0.9844, 0.9122
7, 0, 0.9922, 0.9415
8, 0, 0.9961, 0.9610
1, 1, 0.3333, 0.1667
2, 1, 0.5556, 0.3056
3, 1, 0.7037, 0.4213
4, 1, 0.8025, 0.5177
5, 1, 0.8683, 0.5981
6, 1, 0.9122, 0.6651
7, 1, 0.9415, 0.7209
8, 1, 0.9610, 0.7674
1, 2, 0.1667, 0.0000
2, 2, 0.3056, 0.0000
3, 2, 0.4213, 0.0000
4, 2, 0.5177, 0.0000
5, 2, 0.5981, 0.0000
6, 2, 0.6651, 0.0000
7, 2, 0.7209, 0.0000
8, 2, 0.7674, 0.0000
